slug,path,era,created,shipped_or_last,shipped_flag,status_word,hours,bytes,lines,groups,tasks,files,merges,commits,all_commits,active_hours,work_sessions,mention_commits,pr_merges,pr_files,pr_insertions,pr_deletions,pr_branch_commits,pr_branch_hours,pr_active_hours
refactoring-implementation-plan,genie/wishes/refactoring-implementation-plan.md,v1,2025-08-01T01:21:44-03:00,2025-08-01T01:21:44-03:00,unshipped,PROJECTNAME,0.0,5376,164,0,0,9,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0
claude-md-path-fixes,genie/wishes/claude-md-path-fixes.md,v1,2025-08-11T13:50:54-03:00,2025-08-11T13:50:54-03:00,unshipped,LINE,0.0,5462,128,0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0
unified-genie-automagik,.genie/wishes/unified-genie-automagik-wish.md,v1,2025-09-27T15:21:45-03:00,2025-09-28T19:32:09-03:00,unshipped,DRAFT,28.17,8707,106,3,0,25,0,5,0,0.0,0,0,0,0,0,0,0,0.0,0.0
expand-genie-twin-zen-modes,.genie/wishes/expand-genie-twin-zen-modes-wish.md,v1,2025-09-27T16:23:54-03:00,2025-09-28T19:32:09-03:00,unshipped,APPROVED,27.14,4479,105,5,0,5,0,3,0,0.0,0,0,0,0,0,0,0,0.0,0.0
cherry-pick-genie-dev-improvements,.genie/wishes/cherry-pick-genie-dev-improvements-wish.md,v1,2025-09-30T01:50:28-03:00,2025-10-02T18:54:23-03:00,unshipped,DRAFT,65.07,17256,280,5,6,30,0,4,3,1.3,2,0,0,0,0,0,0,0.0,0.0
core-template-separation,.genie/wishes/_archive/core-template-separation/core-template-separation-wish.md,v2,2025-10-06T15:15:09-03:00,2025-10-16T13:53:54-03:00,shipped,COMPLETE,238.65,31101,601,0,43,60,1,23,18,8.3,7,8,1,162,8424,3641,38,31.7,16.8
agent-reference-fixes,.genie/wishes/.archive/agent-reference-fixes/agent-reference-fixes-wish.md,v2,2025-10-07T14:46:46-03:00,2025-10-07T20:07:17-03:00,shipped,COMPLETE,5.34,9323,253,4,28,26,0,7,7,6.5,3,1,0,0,0,0,0,0.0,0.0
backup-update-system,.genie/wishes/backup-update-system/backup-update-system-wish.md,v2,2025-10-13T11:22:37-03:00,2025-11-03T06:59:57-03:00,unshipped,DRAFT,499.62,19855,465,4,35,21,0,11,11,5.9,8,1,0,0,0,0,0,0.0,0.0
multi-template-architecture,.genie/wishes/multi-template-architecture/multi-template-architecture-wish.md,v2,2025-10-13T11:22:37-03:00,2025-11-03T06:59:57-03:00,unshipped,DRAFT,499.62,26385,724,5,33,31,0,10,10,4.0,8,1,0,0,0,0,0,0.0,0.0
provider-runtime-override,.genie/wishes/_archive/2025-10/provider-runtime-override/provider-runtime-override-wish.md,v2,2025-10-13T11:22:37-03:00,2025-10-16T10:39:16-03:00,shipped,COMPLETE,71.28,28872,808,8,33,13,0,10,7,3.5,7,1,0,0,0,0,0,0.0,0.0
